torneo,ronda,fecha_inicio,fecha_fin,blancas_chesscom,negras_chesscom
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Josehernanpe,ivan19eze20
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,gustavo_roal,Leojoel91
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,MSLawliet,GermanCano
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,PabloMart1510,gabrielferullo
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,sandevirgo,ivancho2022
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,almafuerte19051980,lucasanch1
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Santiagotoledo7,moulencina
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Estebanmatias-8,pabloroldan
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,juanenr,Danmax222
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,matiasbulacio,oldrich14
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Darioabdala,ElTucuJonJonson
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,ilpollitosc,fabianticona
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,JavierMesurado,Leanpg
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Totoxz,pueblocastor
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,ClaudioPablo,mdr17
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,SantiiE77,juanmafe
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,AquilinoMax,NitsugaSM
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,cofran32,donjuan23-04
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,carlossaez21,MateRC
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,Ottoian,IoSonoEdu22
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,florharo,sergiotom
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,TobiasMoliner98,franciscolaga
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,mauro08mauro,tinselisbayard
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,U64,shazam4532
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,AUB,DAJ
Torneo 13,1,05/06/2026 00:00,18/06/2026 21:00,RRM2402,BYE
